date,description,amount,type
2024-01-05,Salary Credit,45000,credit
2024-01-08,Rent Payment,15000,debit
2024-01-10,Grocery Store,2500,debit
2024-01-12,EMI Payment,8000,debit
2024-01-15,Freelance Client Payment,20000,credit
2024-01-18,Swiggy Food Order,800,debit
2024-01-20,Insurance Premium,3000,debit
2024-01-22,Upwork Payment,15000,credit
2024-01-25,School Tuition Fee,5000,debit
2024-01-28,Grocery Store,1800,debit
2024-02-05,Salary Credit,45000,credit
2024-02-08,Rent Payment,15000,debit
2024-02-10,Food Court,1200,debit
2024-02-12,EMI Payment,8000,debit
2024-02-14,Freelance Client Payment,30000,credit
2024-02-18,Grocery Store,2200,debit
2024-02-20,Loan Repayment,6000,debit
2024-02-22,Client Project Payment,25000,credit
2024-02-25,School Tuition Fee,5000,debit
2024-02-28,Swiggy Food Order,950,debit
